id,imdb_id,title,tagline,overview,poster_path,backdrop_path,release_date,vote_average,vote_count,genres,budget,revenue,runtime,rating_band
87818,tt1333125,Movie 43,The biggest cast ever assembled for the most outrageous comedy ever made.,"A series of interconnected short films are the backdrop for a maniac screenwriter who pitches insane storylines featuring some of Hollywood's biggest and brightest.  In some countries, like the United Kingdom and the Netherlands, the structure differs. Instead of a pitch, the films are connected by a group of three teenagers searching for the most banned film in the world, Movie 43, which will ultimately lead to the destruction of civilization.",/uYa06GxHsCsELx9vOQ11vsT0Aa6.jpg,/9bOjEovR9cdiFUYwZY7fyfNGWyL.jpg,2013-01-24,4.648,2482,['Comedy'],6000000,32443111,98,low
8814,tt0419706,Doom,No one gets out alive.,"A team of space marines known as the Rapid Response Tactical Squad, led by Sarge, is sent to a science facility on Mars after somebody reports a security breach. There, they learn that the alert came after a test subject, a mass murderer purposefully injected with alien DNA, broke free and began killing people. Dr. Grimm, who is related to team member Reaper, informs them all that the chromosome can mutate humans into monsters -- and is highly infectious.",/y50lH061yWOvEstoZRn7lYs0huk.jpg,/9EpgaLS44zlXoTSAOhGiJmkIA4B.jpg,2005-10-20,5.187,2409,"['Action', 'Horror', 'Science Fiction']",60000000,58100000,105,low
243688,tt1029360,Poltergeist,They know what scares you.,"A family's suburban home is invaded by angry spirits. When the terrifying apparitions escalate their attacks and take the youngest daughter, the family must come together to rescue her.",/jBXupXZ7WEPUpkYFpkQsdipwBQn.jpg,/cuih9Rn2y72KhGkJYSmmkw1Y597.jpg,2015-05-20,5.223,2377,['Horror'],35000000,95682614,93,low
43593,tt0464154,Piranha 3D,There's something in the water.,"Each year the population of sleepy Lake Victoria, Arizona explodes from 5,000 to 50,000 residents for the annual Spring Break celebration. But then, an earthquake opens an underwater chasm, releasing an enormous swarm of ancient Piranha that have been dormant for thousands of years, now with a taste for human flesh. This year, there's something more to worry about than the usual hangovers and complaints from locals, a new type of terror is about to be cut loose on Lake Victoria.",/lMLS2OFBbNYMSB1ZbVp4q2S4zTU.jpg,/AF0PiDItegyUtlBGDMGlSQbtro.jpg,2010-08-20,5.42,2373,"['Comedy', 'Horror']",24000000,83188165,88,low
329833,tt1608290,Zoolander 2,Long time no Z.,Derek and Hansel are modelling again when an opposing company attempts to take them out from the business.,/n8AJzALlTPBwe9Tkv3tdxbiAr9i.jpg,/4ANhwN1jr5EGwHS0M13AH5Fs3NH.jpg,2016-02-06,4.925,2366,"['Comedy', 'Adventure', 'Action']",50000000,56722693,100,low
372343,tt1758810,The Snowman,"Soon the first snow will fall, and the hunt for a killer begins.",Detective Harry Hole investigates the disappearance of a woman whose pink scarf is found wrapped around an ominous looking snowman.,/mKsQ8KMOk0VBX26Ev0Lj6EmfGJu.jpg,/rfBUlspOpxPavxrhkhvzlBlwfD8.jpg,2017-08-24,5.221,2359,"['Crime', 'Thriller', 'Mystery', 'Horror']",35000000,43203413,119,low
37169,tt1467304,The Human Centipede (First Sequence),Their flesh is his fantasy.,"During a stopover in Germany in the middle of a carefree road trip through Europe, two American girls find themselves alone at night when their car breaks down in the woods. Searching for help at a nearby villa, they are wooed into the clutches of a deranged retired surgeon, who has a very disturbed vision.",/gMtjxIkEi0hnTV5lPHbgeZ4ZpUZ.jpg,/wubUakLEAAnKeXmuTks5insTKQx.jpg,2009-10-31,5.184,2359,['Horror'],2000000,252207,91,low
12279,tt0338459,Spy Kids 3-D: Game Over,3rd Mission. 3rd Dimension.,"Carmen's caught in a virtual reality game designed by the Kids' new nemesis, the Toymaker. It's up to Juni to save his sister, and ultimately the world.",/buA8dN4zLNr0dYBeKfHfMnEfdLE.jpg,/bmuTrxbPcr1nKCsV5YWWJi73PGR.jpg,2003-07-25,5.143,2352,"['Family', 'Action', 'Comedy', 'Adventure', 'Science Fiction']",38000000,197101678,84,low
13051,tt0467197,Max Payne,"When a man has lost everything, he only has revenge.","A DEA agent whose family was slain as part of a conspiracy, and an assassin out to avenge her sister's death, join forces to solve a series of murders in New York City.",/3cWnCG5NyXJYARO2hmNqfbbgrMA.jpg,/8tXo6o4cYzFxKYZPEKamWhkvN7x.jpg,2008-10-15,5.406,2242,"['Crime', 'Action', 'Drama']",35000000,85416905,100,low
8274,tt0436058,American Pie Presents: Band Camp,This one time at band camp...,"Everyone has 'moved on', except for Sherman and Jim Levenstein's still understanding father. Little Matt Stiffler wants to join his older brother Steve's business and, after everything Matt has heard from Jim's band-geek wife, he plans to go back to band camp and make a video of his own.",/6BgKeWEGROpWwEWvpw7vwfTCr9C.jpg,/TWchvpMO36QZTIiNjFBm4MYsmQ.jpg,2005-11-23,5.462,2213,['Comedy'],7000000,0,94,low
8275,tt0808146,American Pie Presents: The Naked Mile,The most outrageous slice of pie!,"When Erik Stifler realizes that he's the only Stifler family member who might graduate high school a virgin, he decides to live up to his legacy. After some well-meaning advice from Jim's dad, Erik's ready to take his chances at the annual and infamous Naked Mile race, where his devoted friends and some uninhibited sorority girls will create the most outrageous weekend ever.",/6CPJVJrqVjibP5Uub8yCg4FKtJi.jpg,/9IUZw1blAscYnyFi5vEFlHVXAWr.jpg,2006-12-13,5.492,2172,['Comedy'],0,0,97,low
241251,tt3181822,The Boy Next Door,A Moment She Couldn't Resist. An Obsession He Can't Control.,"A recently cheated on married woman falls for a younger man who has moved in next door, but their torrid affair soon takes a dangerous turn.",/gicmSeLG6Uh7BF1r1mxZHUQ8r26.jpg,/96iXwJibeNW9RGEa58zYa0SQV6m.jpg,2015-01-23,4.925,2107,['Thriller'],4000000,52425855,91,low
23023,tt0808510,Tooth Fairy,You can't handle the tooth.,"When minor-league hockey player Derek Thompson -- who has a penchant for knocking out his opponents' teeth every time he plays -- disillusions a fan, he is sentenced to a stint for one week as a bona fide, tutu-clad, real-life tooth fairy. Soon, Derek is inspired to rekindle his youthful dreams.",/cRZvw3bPomtucIUtMHZ3qPIYtYs.jpg,/dfeCwxegv4rting4xftkHxmIdyu.jpg,2010-01-14,5.477,2090,"['Comedy', 'Family', 'Fantasy']",48000000,112462508,101,low
100241,tt1418377,"I, Frankenstein","In the battle between good and evil, an immortal holds the key","200 years after his shocking creation, Dr. Frankenstein's creature, Adam, still walks the earth. But when he finds himself in the middle of a war over the fate of humanity, Adam discovers he holds the key that could destroy humankind.",/a53tIl4k20zCZCNyq73kiXkwWkl.jpg,/9ywnF6JCB7RqmZ5OPzoe67LfTv2.jpg,2014-01-22,5.376,2042,"['Horror', 'Thriller']",65000000,76801179,92,low
475210,tt5246700,How It Ends,No one survives alone,A desperate father tries to return home to his pregnant wife after a mysterious apocalyptic event turns everything to chaos.,/prdFM08mGvVDA6uQxKJh8n8Vek1.jpg,/27RtdnNXPVC5SKDLVjmpijFgyx3.jpg,2018-07-13,5.28,2029,"['Science Fiction', 'Thriller', 'Mystery', 'Action', 'Adventure']",20000000,0,113,low
351211,tt1540011,Blair Witch,There's something evil hiding in the woods.,Students on a camping trip discover something sinister is lurking beyond the trees.,/Ai73frMEz68bibFGRlPKdWBaIaq.jpg,/vFktlnv1cEKeyCuSLd02DVNUoRC.jpg,2016-09-15,5.2,2028,"['Thriller', 'Horror']",5000000,45172994,89,low
82990,tt2109184,Paranormal Activity 4,All the activity has led to this...,"It has been five years since the disappearance of Katie and Hunter, and a suburban family witness strange events in their neighborhood when a woman and a mysterious child move in.",/na5tAslm1kGNcft083AIXMTOsYR.jpg,/iIXEKq51MS8SfVLUX1p6ofwFFQU.jpg,2012-10-17,5.407,2017,['Horror'],5000000,142802657,87,low
17610,tt1045778,Year One,Meet your ancestors.,"When a couple of lazy hunter-gatherers are banished from their primitive village, they set off on an epic journey through the ancient world.",/qF573jdJYwtCbXVXPDn4xu8nW2a.jpg,/21RU5YYiLk3UVF9lRhf2fs1tRUK.jpg,2009-06-18,4.986,2008,"['Comedy', 'Adventure']",60000000,62357900,97,low
11679,tt0329774,xXx: State of the Union,Prepare for the next level.,Darius Stone's criminal record and extreme sports obsession make him the perfect candidate to be the newest XXX agent. He must save the U.S. government from a deadly conspiracy led by five-star general and Secretary of Defense George Deckert.,/nL9J0N3HJSdZTKRsd5xcE6IzL5s.jpg,/tQIYqsulr3GwgsFbQ3jKKW8SX4V.jpg,2005-04-27,5.089,2009,"['Action', 'Adventure', 'Crime', 'Thriller']",60000000,71410636,101,low
19585,tt0436339,G-Force,The world needs bigger heroes,"A team of trained secret agent animals, guinea pigs Darwin, Hurley, Juarez, Blaster, mole Speckles, and fly Mooch takes on a mission for the US government to stop evil Leonard Saber, who plans to destroy the world with household appliances. But the government shuts them down and they are sentenced to a pet shop. Can they escape to defeat the villain and save the world?",/9Tly3ZXTTsQKM26fis8v9LR4GxG.jpg,/xgic8uEqzzhc0YimHGsWSQWMduE.jpg,2009-07-24,5.485,1992,"['Family', 'Fantasy', 'Action', 'Adventure', 'Comedy']",150000000,292817841,88,low
11918,tt0426592,Superhero Movie,The greatest Superhero movie of all time! (not counting all the others),"Rick Riker is a nerdy teen imbued with superpowers by a radioactive dragonfly. And because every hero needs a nemesis, enter Lou Landers, aka the villainously goofy Hourglass.",/4MtvQdh5VP7jMSydhggp1P80FMj.jpg,/iA5yYNAclwXWGe46T7gatzGYcRu.jpg,2008-03-28,5.282,1991,"['Comedy', 'Action', 'Science Fiction']",35000000,71571300,82,low
463684,tt7043012,Velvet Buzzsaw,All Art Is Dangerous,"Big money artists and mega-collectors pay a high price when art collides with commerce. After a series of paintings by an unknown artist are discovered, a supernatural force enacts revenge on those who have allowed their greed to get in the way of art.",/3rViQPcrWthMNecp5XnkKev6BzW.jpg,/u0jOKULZyFhnN47jAhclmPw5MGl.jpg,2019-02-01,5.4,1990,"['Thriller', 'Mystery', 'Horror']",21000000,0,112,low
37430,tt0816462,Conan the Barbarian,Enter an age undreamed of,"A quest that begins as a personal vendetta for the fierce Cimmerian warrior soon turns into an epic battle against hulking rivals, horrific monsters, and impossible odds, as Conan realizes he is the only hope of saving the great nations of Hyboria from an encroaching reign of supernatural evil.",/sSMjZmOtqzlRTYSUFPmIXTV4rhh.jpg,/6B5bTuZEyLrAYNG1IX1GeBQZP11.jpg,2011-08-17,5.3,1988,"['Adventure', 'Fantasy', 'Action']",90000000,63523283,113,low
109091,tt2193215,The Counselor,Sin is a choice.,A lawyer finds himself in far over his head when he attempts to get involved in drug trafficking.,/aNiLkGnzVb5CorZHKk16w9S4COt.jpg,/mJaIjahqXpWtDVMMLQr81yRNniG.jpg,2013-10-25,5.29,1975,"['Thriller', 'Crime', 'Drama']",25000000,71009334,117,low
326,tt0417148,Snakes on a Plane,Sit back. Relax. Enjoy the fright.,"FBI agent Neville Flynn boards a flight from Honolulu, Hawaii to Los Angeles, escorting a key witness to testify against a mob boss at an upcoming trial. An on-board assassin releases a crate full of hundreds of deadly venomous snakes in an attempt to eliminate the witness. Flynn and a host of frightened passengers and crew must band together to survive the slithery threat.",/i0ynvZ89tV1t8MAL9FmeQELfXH0.jpg,/wxGhAD63EM7N2YIQw9bktgQR8QM.jpg,2006-08-17,5.483,1947,"['Action', 'Thriller', 'Adventure', 'Crime', 'Horror']",33000000,62022014,105,low
407451,tt1620680,A Wrinkle in Time,Be a warrior,"After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him.",/yAcb58vipewa1BfNit2RjE6boXA.jpg,/mx6zzr2H34fXMsBmL2it8NsmKF1.jpg,2018-03-08,5.1,1851,"['Adventure', 'Science Fiction', 'Family', 'Fantasy']",103000000,132675864,109,low
329440,tt3387542,The Forest,Everyone comes here looking for a way out,"Set in the Aokigahara Forest, a real-life place in Japan where people go to end their lives. Against this backdrop, a young American woman comes in search of her twin sister, who has mysteriously disappeared.",/1TohqCqMbaiuRLJPrPW0vnQP3lE.jpg,/c6GGumaw3bvhX15NXK30heuCnaC.jpg,2016-01-07,5.226,1839,"['Horror', 'Thriller', 'Mystery']",10000000,37608299,93,low
26123,tt1407050,American Pie Presents: The Book of Love,It's the hottest slice yet!,"Ten years after the first American Pie movie, three new hapless virgins discover the Bible hidden in the school library at East Great Falls High. Unfortunately for them, the book is ruined, and with incomplete advice, the Bible leads them on a hilarious journey to lose their virginity.",/hwP0GEP0zy8ar965Xaht19SmMd3.jpg,/vVpPX97LFI19u56tgEP5eObqgBx.jpg,2009-12-02,5.251,1823,['Comedy'],8000000,5021219,93,low
76617,tt1572315,Texas Chainsaw 3D,Resurrecting The Saw.,"A young woman learns that she has inherited a Texas estate from her deceased grandmother. After embarking on a road trip with friends to uncover her roots, she finds she is the sole owner of a lavish, isolated Victorian mansion. But her newfound wealth comes at a price as she stumbles upon a horror that awaits her in the mansion’s dank cellars.",/qaPvvHP1kKlQaUAXQZQAWitqBOT.jpg,/w5T2Avx3FCyqhzHxzQPeIli91BJ.jpg,2013-01-03,5.481,1801,"['Horror', 'Thriller']",20000000,47340586,92,low
