id,imdb_id,title,tagline,overview,poster_path,backdrop_path,release_date,vote_average,vote_count,genres,budget,revenue,runtime
1585,tt0038650,It's a Wonderful Life,It's a wonderful laugh! It's a wonderful love!,"A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",/bSqt9rhDZx1Q7UZ86dBPKdNomp2.jpg,/ch3lDc4xQ9MpsNEpnRhvR8PIxxK.jpg,1946-12-20,8.275,4653,"['Drama', 'Family', 'Fantasy']",3180000,9644124,130
1186532,tt26731216,The Forge,Whoever wants the next generation the most will get them.,"19 year old Isaiah Wright lives for basketball and video games. A year out of high school, he has no job, no plans, and no idea how to be a man. At odds with his single mother Cynthia, Isaiah is given an ultimatum – to step up or move out. Feeling the pull from his friends and the push from his mom, Isaiah is hired by Moore Fitness, unaware of how the owner will personally impact his life. With the prayers of his mother and unexpected guidance from his new mentor, Isaiah is forced to deal with his past, sacrifice his selfishness and discover how God might have a greater purpose for his life.",/oranxontIQRmhuyQlkoAwxpeBYz.jpg,/18X5mXS1SpQy5rygEcpbmzUdkVP.jpg,2024-08-22,8.278,308,"['Drama', 'Family']",5000000,40392664,123
77338,tt1675434,The Intouchables,Sometimes you have to reach into someone else's world to find out what's missing in your own.,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,/i97FM40bOMKvKIo3hjQviETE5yf.jpg,/q6OGlZ1KMEb14AC8KbPCxyNOal6.jpg,2011-11-02,8.271,17976,"['Drama', 'Comedy']",13000000,426590315,113
28,tt0078788,Apocalypse Now,This is the end...,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg,/9Qs9oyn4iE8QtQjGZ0Hp2WyYNXT.jpg,1979-05-19,8.271,8743,"['Drama', 'War']",31500000,150000000,147
92321,tt2061702,Hotarubi no Mori e,,"One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...",/mDqzHV8UXWWNpZkoAbKmKX1ZxEE.jpg,/qknxyRgP6UTmwJ4B9tDAmzHMq7u.jpg,2011-09-17,8.269,1179,"['Romance', 'Animation', 'Fantasy']",0,0,45
18491,tt0169858,Neon Genesis Evangelion: The End of Evangelion,The fate of destruction is also the joy of rebirth.,"SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity.",/j6G24dqI4WgUtChhWjfnI4lnmiK.jpg,/xLMJCCSatxENpHO9rLW9yD8A12C.jpg,1997-07-19,8.27,1745,"['Animation', 'Science Fiction', 'Drama', 'Fantasy']",0,20563523,87
1356039,tt23648788,Counterattack,,"When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.",/38I76hGcFY6xB47pjm7pZwkfuAF.jpg,/deUWVEgNh2IGjShyymZhaYP40ye.jpg,2025-02-27,8.27,765,"['Action', 'Adventure', 'Thriller']",0,0,85
632632,tt11802992,Given,A story of a certain summer.,"Haruki secretly had feelings for Akihiko for years, but Akihiko was still in a relationship with his roommate, the violinist Ugetsu Murata. Haruki, Akihiko, and Ugetsu's love clashes and starts to move forward.",/pegCub2zdYD5As43AOmGsIctuKc.jpg,/9Xz0bzUFTVgDZd4WZz1cJDQjLkB.jpg,2020-08-22,8.3,409,"['Animation', 'Drama', 'Music', 'Romance']",0,930363,60
901,tt0021749,City Lights,True Blind Love,A tramp falls in love with a beautiful blind flower girl. His on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.,/ugmakEL5y294I5bXgiBqApuZpwc.jpg,/Ma7mQsldFCaQpsZbm8zolgLfmV.jpg,1931-02-06,8.26,2352,"['Comedy', 'Drama', 'Romance']",1500000,4250000,87
975,tt0050825,Paths of Glory,It explodes in the no-man's land no picture ever dared cross before!,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,/hGg1UCQSHlXfv2HI9bDHT2OQBam.jpg,/354kfjVb96mtFALMhBE6jzHGiA2.jpg,1957-10-25,8.26,3133,"['War', 'Drama']",935000,1200000,88
